tipo,mensaje
ham,"Vaya hasta Jurong Point, loco... Dispsoloble solo en Bugis n Great World La e Buffet... Cine tiene Amore Wat..."
ham,Ok... bromeando con u solo...
spam,Entrada gratuita en 2 una compensación de wkly para ganar la Copa FA final TKTS 21 de mayo de 2005. Texto FA a 87121 para recibir la pregunta de entrada (Tasa de TXT STD) Aplicar los T&C 08452810075Over18's
ham,No digo tan temprano... u c ya digo...
ham,"No, no creo que vaya a la USF, aunque vive por aquí"
spam,"Freemsg Hola, cariño, ¡ya han pasado 3 semanas y no hay palabra! ¿Me gustaría un poco de diversión por eso todavía? TB ok! XXX STD CHGS para enviar, £ 1.50 a RCV"
ham,Incluso mi hermano no es como hablar conmigo. Me tratan como una patente del SIDA.
ham,Según su solicitud 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' se ha establecido como su callertune para todas las personas que llaman. Presione *9 para copiar a sus amigos Callertune
spam,"¡¡GANADOR!! ¡Como cliente valioso de la red, ha sido seleccionado para recibir una recompensa del premio de £ 900! Para reclamar llame al 09061701461. Código de reclamación KL341. Válido 12 horas solamente."
spam,¿Tuvo su móvil 11 meses o más? ¡Tienes derecho a actualizar los últimos móviles de color con cámara de forma gratuita! Llame a la actualización móvil CO gratis al 08002986030
ham,"Voy a estar en casa pronto y ya no quiero hablar de estas cosas esta noche, K? He llorado lo suficiente hoy."
spam,"¡Seis oportunidades de ganar efectivo! De 100 a 20,000 libras txt> CSH11 y envíe a 87575. Costo 150p/día, 6 días, 16+ Tsandcs Aplicar respuesta HL 4 Información"
spam,"¡URGENTE! ¡Has ganado una membresía gratuita de 1 semana en nuestro premio premio de premios de £ 100,000! Txt La palabra: afirmar no: 81010 T&C www.dbuk.net lccltd POBOX 4403LDNW1A7RW18"
ham,He estado buscando las palabras correctas para agradecerle por este respiro. Prometo que no daré por sentado su ayuda y cumpliré mi promesa. Has sido maravilloso y una bendición en todo momento.
ham,¡Tengo una cita el domingo con voluntad!
spam,"XXXMOBILEMOVIECLUB: Para usar su crédito, haga clic en el enlace WAP en el siguiente mensaje TXT o haga clic aquí >> http: // wap. xxxmobilemovieclub.com?n=qjkgighjjgcbl"
ham,Oh K... estoy viendo aquí:)
ham,"Eh, ¿recuerdas cómo se deletrea su nombre? Sí, lo hice. Es travieso hasta que me mojo."
ham,Bien si esa es la forma en que te sientes. Así es como se cae b
